replay_id,dataset,ground_truth,reference_probability,n_channels_used,alpha_power_mean,alpha_power_std,beta_power_mean,beta_power_std,delta_power_mean,delta_power_std,gamma_power_mean,gamma_power_std,line_length_mean,line_length_std,mean_mean,mean_std,ptp_mean,ptp_std,rms_mean,rms_std,std_mean,std_std,theta_power_mean,theta_power_std,zero_crossing_rate_mean,zero_crossing_rate_std
heldout_01,chbmit,non_seizure,0.0011878752,19,2121354.663,951460.4695,180985.0108,65429.08706,23131181.54,11455832.28,41294.02128,25335.35262,2.482295482,0.8221003605,0.1983805668,0.2585586526,165.521496,52.32064169,18.45797955,4.07242467,18.45515569,4.072182773,3957831.978,1370001.04,0.06770736924,0.02045991203
heldout_02,chbmit,non_seizure,0.0012661476,19,617797.6945,182883.0749,91323.23347,32408.23484,26977115.05,16948411.26,24184.43467,15195.81063,1.623875394,0.2696535591,0.08029689609,0.3260279036,183.0010925,56.8892124,17.83399225,4.959240797,17.83026014,4.961293226,2171564.014,792598.2418,0.06836552107,0.01229584126
heldout_03,chbmit,non_seizure,0.0016820554,19,1648462.024,1075225.246,853519.1554,820717.4799,171326050.9,264238104.5,666910.9449,882136.1937,5.57953377,2.727028395,1.174980721,1.220504034,371.5750916,300.0804896,37.39398466,29.11182442,37.37035128,29.09286931,10464928.99,13663750.68,0.1316303655,0.04369381269
heldout_04,chbmit,non_seizure,0.0017087250,19,2495637.812,1128867.28,219211.5498,126188.4558,25235216.11,14415475.79,19704.97621,6078.549867,2.080811002,0.362888285,0.2156513078,0.3568439509,156.2058994,54.35303284,19.63092281,4.830826246,19.62619592,4.83203924,5881480.837,2244239.325,0.05306349108,0.007760422313
heldout_05,chbmit,non_seizure,0.0017233549,19,1370832.443,537987.7673,241861.1742,74456.79212,23494207.9,8969370.567,60326.37241,32472.64394,3.012683953,0.7037898913,0.218768074,0.3127270117,142.3867361,39.35547925,19.42319396,3.195827703,19.41936781,3.196290722,4743310.322,2321547.338,0.06591801896,0.01943869033
heldout_06,chbmit,non_seizure,0.0020358541,19,642457.1585,293818.2868,205024.9707,124891.2244,51272371.33,82289024.32,170670.412,161258.0576,3.62718495,1.617515196,0.1108219266,0.2550624696,196.9642054,181.5418776,19.87080279,16.00740412,19.86749954,16.00908848,4046548.914,4372649.911,0.1453692849,0.05125000801
heldout_07,chbmit,seizure,0.6712550509,19,201582014.3,182127998.1,68626206.35,38108901.67,384580103.2,576975111,28630292.48,21894197.52,36.27289377,13.21359507,4.453609987,3.841352137,1341.38423,559.1992418,140.6052702,48.25458199,140.4599095,48.31945679,653889658.7,506208748.7,0.1339955986,0.05462505291
heldout_08,chbmit,seizure,0.9632929655,19,102264403.4,68558618.99,45944386.34,37978441.62,1261562173,1264009446,15629959.49,17501575.59,27.84166345,12.35174712,-0.4566705225,7.449709402,1260.546237,630.2140148,150.0880001,60.65763113,149.927681,60.59488224,317238240.7,230660131.2,0.08239238189,0.02049226373
heldout_09,chbmit,seizure,0.9890769953,19,1753820852,388042285.5,399811564,159565499.5,1046340772,781961356,141147976.3,122674402.2,89.81443995,27.85831464,-1.838876036,2.761618667,2316.087655,363.274777,328.4271233,36.92591478,328.4097699,36.93120053,3395183081,1185599966,0.1076695255,0.03004654116
heldout_10,siena,seizure,0.9948076797,19,8740212.58,7196326.775,1377771.324,1225915.605,208420917,264028678.3,438674.5752,670687.6453,3.662151778,3.112926612,-0.3172260485,8.320880498,202.6381579,113.6976014,30.9238683,15.82482204,29.5624871,16.2305975,22600675.2,28001873.94,0.04873484747,0.02219502435
heldout_11,siena,seizure,0.9977727885,19,17683782.26,15793844.69,1610051.665,1682484.59,620772846.6,955319951.7,585929.5721,917931.951,5.304708059,4.534231234,4.809328742,23.60193044,262.1184211,225.0591606,46.75503586,41.59935809,44.112324,37.28890023,113316490.1,128892883.7,0.05043131368,0.02182331963
heldout_12,siena,seizure,0.9991651785,19,22540343.53,23673161.08,4458344.559,4877621.124,250789095.9,211206767.7,461141.9437,391128.7506,4.590159848,2.642480241,19.02820081,8.002607466,220.5921053,93.56467509,36.71273338,13.5270745,29.87945566,14.55714648,39477454.49,36515545.99,0.05759759822,0.01616233652
